airport,city,country,iata
"Frank Pais International Airport",Holguin,Cuba,HOG
"Horta Airport",Horta,Portugal,HOR
"William P. Hobby Airport",Houston,"United States",HOU
"Cat Bi International Airport","Hai Phong",Vietnam,HPH
"Westchester County Airport","White Plains","United States",HPN
"Harbin Taiping International Airport",Harbin,China,HRB
"Robert Gabriel Mugabe International Airport",Harare,Zimbabwe,HRE
"Hurghada International Airport",Hurghada,Egypt,HRG
"Mattala Rajapaksa International Airport",Hambantota,"Sri Lanka",HRI
"Valley International Airport",Harlingen,"United States",HRL
"Huntsville International Airport",Huntsville,"United States",HSV
"Hamilton Island Airport","Hamilton Island",Australia,HTI
"Tri-State Airport",Huntington,"United States",HTS
"Phu Bai International Airport",Hue,Vietnam,HUI
"Hualien Airport",Hualien,Taiwan,HUN
"Bahias de Huatulco International Airport",Huatulco,Mexico,HUX
"Cape Cod Gateway Airport",Hyannis,"United States",HYA
"Rajiv Gandhi International Airport",Hyderabad,India,HYD
"Washington Dulles International Airport",Washington,"United States",IAD
"George Bush Intercontinental Airport",Houston,"United States",IAH
"Iasi International Airport",Iasi,Romania,IAS
"Ibiza Airport",Ibiza,Spain,IBZ
"Incheon International Airport",Seoul,"South Korea",ICN
"Wichita Dwight D. Eisenhower National Airport",Wichita,"United States",ICT
"Idaho Falls Regional Airport","Idaho Falls","United States",IDA
"Devi Ahilyabai Holkar Airport",Indore,India,IDR
"Isfahan International Airport",Isfahan,Iran,IFN
"Laughlin/Bullhead International Airport","Bullhead City","United States",IFP
"Cataratas del Iguazu International Airport","Puerto Iguazu",Argentina,IGR
"Foz do Iguacu International Airport","Foz do Iguacu",Brazil,IGU
"Imam Khomeini International Airport",Tehran,Iran,IKA
"Irkutsk International Airport",Irkutsk,Russia,IKT
"Wilmington International Airport",Wilmington,"United States",ILM
"Iloilo International Airport",Iloilo,Philippines,ILO
"Imphal International Airport",Imphal,India,IMF
"Ford Airport","Iron Mountain","United States",IMT
"Yinchuan Hedong International Airport",Yinchuan,China,INC
"Indianapolis International Airport",Indianapolis,"United States",IND
"Nis Constantine the Great Airport",Nis,Serbia,INI
"Falls International Airport","International Falls","United States",INL
"Innsbruck Airport",Innsbruck,Austria,INN
"Nauru International Airport",Yaren,Nauru,INU
"Inverness Airport",Inverness,"United Kingdom",INV
"Isle of Man Airport",Douglas,"Isle of Man",IOM
"Jorge Amado Airport",Ilheus,Brazil,IOS
"Mataveri International Airport","Easter Island",Chile,IPC
"Sultan Azlan Shah Airport",Ipoh,Malaysia,IPH
"Imperial County Airport",Imperial,"United States",IPL
"Williamsport Regional Airport",Williamsport,"United States",IPT
"Diego Aracena International Airport",Iquique,Chile,IQQ
"Coronel FAP Francisco Secada Vignetta International Airport",Iquitos,Peru,IQT
"Mount Isa Airport","Mount Isa",Australia,ISA
"Islamabad International Airport",Islamabad,Pakistan,ISB
"Ishigaki Airport",Ishigaki,Japan,ISG
"Long Island MacArthur Airport",Islip,"United States",ISP
"Istanbul Airport",Istanbul,Turkey,IST
"Ithaca Tompkins International Airport",Ithaca,"United States",ITH
"Osaka Itami Airport",Osaka,Japan,ITM
"Hilo International Airport",Hilo,"United States",ITO
"Niue International Airport",Alofi,Niue,IUE
"Invercargill Airport",Invercargill,"New Zealand",IVC
"Ivalo Airport",Ivalo,Finland,IVL
"Agartala Airport",Agartala,India,IXA
"Bagdogra Airport",Bagdogra,India,IXB
"Chandigarh International Airport",Chandigarh,India,IXC
"Mangalore International Airport",Mangalore,India,IXE
"Jammu Airport",Jammu,India,IXJ
"Madurai Airport",Madurai,India,IXM
"Birsa Munda Airport",Ranchi,India,IXR
"Chhatrapati Sambhaji Maharaj Airport",Aurangabad,India,IXU
"Izumo Enmusubi Airport",Izumo,Japan,IZO
"Jackson Hole Airport",Jackson,"United States",JAC
"Jaipur International Airport",Jaipur,India,JAI
"Jackson-Medgar Wiley Evers International Airport",Jackson,"United States",JAN
"Jacksonville International Airport",Jacksonville,"United States",JAX
"Jodhpur Airport",Jodhpur,India,JDH
"King Abdulaziz International Airport",Jeddah,"Saudi Arabia",JED
"Jersey Airport","St. Helier",Jersey,JER
"John F. Kennedy International Airport","New York","United States",JFK
"Senai International Airport","Johor Bahru",Malaysia,JHB
"Djibouti-Ambouli International Airport",Djibouti,Djibouti,JIB
"Chios Island National Airport",Chios,Greece,JKH
"Joplin Regional Airport",Joplin,"United States",JLN
"Jabalpur Airport",Jabalpur,India,JLR
"Mykonos Island National Airport",Mykonos,Greece,JMK
"O.R. Tambo International Airport",Johannesburg,"South Africa",JNB
"Juneau International Airport",Juneau,"United States",JNU
"Yogyakarta International Airport",Yogyakarta,Indonesia,JOG
"Presidente Castro Pinto International Airport","Joao Pessoa",Brazil,JPA
"Kilimanjaro International Airport",Arusha,Tanzania,JRO
"Skiathos Island National Airport",Skiathos,Greece,JSI
"John Murtha Johnstown-Cambria County Airport",Johnstown,"United States",JST
"Santorini Airport",Santorini,Greece,JTR
"Inca Manco Capac International Airport",Juliaca,Peru,JUL
"Jyvaskyla Airport",Jyvaskyla,Finland,JYV
"Mallam Aminu Kano International Airport",Kano,Nigeria,KAN
"Sultan Ismail Petra Airport","Kota Bharu",Malaysia,KBR
"Krabi Airport",Krabi,Thailand,KBV
"Kuching International Airport",Kuching,Malaysia,KCH
"Kochi Ryoma Airport",Kochi,Japan,KCZ
"Wolter Monginsidi Airport",Kendari,Indonesia,KDI
"Keflavik International Airport",Reykjavik,Iceland,KEF
"Kalgoorlie-Boulder Airport",Kalgoorlie,Australia,KGI
"Kigali International Airport",Kigali,Rwanda,KGL
"Kos Island International Airport",Kos,Greece,KGS
"Kaohsiung International Airport",Kaohsiung,Taiwan,KHH
"Jinnah International Airport",Karachi,Pakistan,KHI
"Khabarovsk Novy Airport",Khabarovsk,Russia,KHV
"Kish International Airport","Kish Island",Iran,KIH
"Kimberley Airport",Kimberley,"South Africa",KIM
"Norman Manley International Airport",Kingston,Jamaica,KIN
"Kisumu International Airport",Kisumu,Kenya,KIS
"Chisinau International Airport",Chisinau,Moldova,KIV
"Kansai International Airport",Osaka,Japan,KIX
"Khon Kaen Airport","Khon Kaen",Thailand,KKC
"Kerikeri Airport",Kerikeri,"New Zealand",KKE
"Kalibo International Airport",Kalibo,Philippines,KLO
"Klagenfurt Airport",Klagenfurt,Austria,KLU
"Kunming Changshui International Airport",Kunming,China,KMG
"Kumamoto Airport",Kumamoto,Japan,KMJ
"Komatsu Airport",Komatsu,Japan,KMQ
"Kumasi Airport",Kumasi,Ghana,KMS
"Knock Ireland West Airport",Knock,Ireland,KNO
"Ellison Onizuka Kona International Airport",Kailua-Kona,"United States",KOA
"Kagoshima Airport",Kagoshima,Japan,KOJ
"Sihanoukville International Airport",Sihanoukville,Cambodia,KOS
"John Paul II International Airport",Krakow,Poland,KRK
"Kiruna Airport",Kiruna,Sweden,KRN
"Pashkovsky Airport",Krasnodar,Russia,KRR
"Kristiansand Airport",Kristiansand,Norway,KRS
"Khartoum International Airport",Khartoum,Sudan,KRT
"Kosrae International Airport",Kosrae,Micronesia,KSA
"Kosice International Airport",Kosice,Slovakia,KSC
"Karratha Airport",Karratha,Australia,KTA
"Tribhuvan International Airport",Kathmandu,Nepal,KTM
"Ketchikan International Airport",Ketchikan,"United States",KTN
"Kittila Airport",Kittila,Finland,KTT
"Katowice Airport",Katowice,Poland,KTW
"Sultan Haji Ahmad Shah Airport",Kuantan,Malaysia,KUA
"Kurumoch International Airport",Samara,Russia,KUF
"Kushiro Airport",Kushiro,Japan,KUH
"Kuala Lumpur International Airport","Kuala Lumpur",Malaysia,KUL
"Kaunas Airport",Kaunas,Lithuania,KUN
"Kuopio Airport",Kuopio,Finland,KUO
"David the Builder Kutaisi International Airport",Kutaisi,Georgia,KUT
"Alexander the Great International Airport",Kavala,Greece,KVA
"Bucholz Army Airfield",Kwajalein,"Marshall Islands",KWA
"Guiyang Longdongbao International Airport",Guiyang,China,KWE
"Kuwait International Airport","Kuwait City",Kuwait,KWI
"Gwangju Airport",Gwangju,"South Korea",KWJ
"Guilin Liangjiang International Airport",Guilin,China,KWL
"Konya Airport",Konya,Turkey,KYA
"Kazan International Airport",Kazan,Russia,KZN
"Quatro de Fevereiro Airport",Luanda,Angola,LAD
"Capital Region International Airport",Lansing,"United States",LAN
"Manuel Marquez de Leon International Airport","La Paz",Mexico,LAP
"Harry Reid International Airport","Las Vegas","United States",LAS
"Los Angeles International Airport","Los Angeles","United States",LAX
"Lubbock Preston Smith International Airport",Lubbock,"United States",LBB
"Arnold Palmer Regional Airport",Latrobe,"United States",LBE
"Leon-Mba International Airport",Libreville,Gabon,LBV
"Larnaca International Airport",Larnaca,Cyprus,LCA
"Lake Charles Regional Airport","Lake Charles","United States",LCH
"Lodz Wladyslaw Reymont Airport",Lodz,Poland,LCJ
"London City Airport",London,"United Kingdom",LCY
"Leeds Bradford Airport",Leeds,"United Kingdom",LDS
"Lebanon Municipal Airport",Lebanon,"United States",LEB
"Pulkovo Airport","St. Petersburg",Russia,LED
"Leipzig/Halle Airport",Leipzig,Germany,LEJ
"Blue Grass Airport",Lexington,"United States",LEX
"Lafayette Regional Airport",Lafayette,"United States",LFT
"Lome-Tokoin Airport",Lome,Togo,LFW
"LaGuardia Airport","New York","United States",LGA
"Liege Airport",Liege,Belgium,LGG
"Langkawi International Airport",Langkawi,Malaysia,LGK
"London Gatwick Airport",London,"United Kingdom",LGW
"Allama Iqbal International Airport",Lahore,Pakistan,LHE
"London Heathrow Airport",London,"United Kingdom",LHR
"Lanzhou Zhongchuan International Airport",Lanzhou,China,LHW
"Lihue Airport",Lihue,"United States",LIH
"Lille Airport",Lille,France,LIL
"Jorge Chavez International Airport",Lima,Peru,LIM
"Milan Linate Airport",Milan,Italy,LIN
"Daniel Oduber Quiros International Airport",Liberia,"Costa Rica",LIR
"Lisbon Humberto Delgado Airport",Lisbon,Portugal,LIS
"Bill and Hillary Clinton National Airport","Little Rock","United States",LIT
"Lijiang Sanyi International Airport",Lijiang,China,LJG
"Ljubljana Joze Pucnik Airport",Ljubljana,Slovenia,LJU
"Chaudhary Charan Singh International Airport",Lucknow,India,LKO
"Lulea Airport",Lulea,Sweden,LLA
"Lalibela Airport",Lalibela,Ethiopia,LLI
"Kamuzu International Airport",Lilongwe,Malawi,LLW
"Federal del Valle del Fuerte International Airport","Los Mochis",Mexico,LMM
"Lincoln Airport",Lincoln,"United States",LNK
"Linz Airport",Linz,Austria,LNZ
"Lombok International Airport",Lombok,Indonesia,LOP
"Murtala Muhammed International Airport",Lagos,Nigeria,LOS
"Gran Canaria Airport","Las Palmas",Spain,LPA
"El Alto International Airport","La Paz",Bolivia,LPB
"Liverpool John Lennon Airport",Liverpool,"United Kingdom",LPL
"Luang Prabang International Airport","Luang Prabang",Laos,LPQ
"Laredo International Airport",Laredo,"United States",LRD
"Longreach Airport",Longreach,Australia,LRE
"La Florida Airport","La Serena",Chile,LSC
"La Crosse Regional Airport","La Crosse","United States",LSE
"Launceston Airport",Launceston,Australia,LST
"London Luton Airport",London,"United Kingdom",LTN
"Kenneth Kaunda International Airport",Lusaka,Zambia,LUN
"Luxembourg Findel Airport","Luxembourg City",Luxembourg,LUX
"Harry Mwanga Nkumbula International Airport",Livingstone,Zambia,LVI
"Greenbrier Valley Airport",Lewisburg,"United States",LWB
"Lewiston-Nez Perce County Airport",Lewiston,"United States",LWS
"Luxor International Airport",Luxor,Egypt,LXR
"Lynchburg Regional Airport",Lynchburg,"United States",LYH
"Svalbard Airport",Longyearbyen,Norway,LYR
"Lyon-Saint Exupery Airport",Lyon,France,LYS
"Chennai International Airport",Chennai,India,MAA
"Adolfo Suarez Madrid-Barajas Airport",Madrid,Spain,MAD
"Midland International Air and Space Port",Midland,"United States",MAF
"Menorca Airport",Mahon,Spain,MAH
"Amata Kabua International Airport",Majuro,"Marshall Islands",MAJ
"Manchester Airport",Manchester,"United Kingdom",MAN
"Eduardo Gomes International Airport",Manaus,Brazil,MAO
"La Chinita International Airport",Maracaibo,Venezuela,MAR
"Moi International Airport",Mombasa,Kenya,MBA
"Sangster International Airport","Montego Bay",Jamaica,MBJ
"MBS International Airport",Saginaw,"United States",MBS
"Kansas City International Airport","Kansas City","United States",MCI
"Orlando International Airport",Orlando,"United States",MCO
"Alberto Alcolumbre International Airport",Macapa,Brazil,MCP
"Muscat International Airport",Muscat,Oman,MCT
"Sunshine Coast Airport",Maroochydore,Australia,MCY
"Zumbi dos Palmares Airport",Maceio,Brazil,MCZ
"Sam Ratulangi International Airport",Manado,Indonesia,MDC
"Jose Maria Cordova International Airport",Medellin,Colombia,MDE
"Mandalay International Airport",Mandalay,Myanmar,MDL
"Harrisburg International Airport",Harrisburg,"United States",MDT
"Chicago Midway International Airport",Chicago,"United States",MDW
"Governor Francisco Gabrielli International Airport",Mendoza,Argentina,MDZ
"Eloy Alfaro International Airport",Manta,Ecuador,MEC
"Prince Mohammad bin Abdulaziz International Airport",Medina,"Saudi Arabia",MED
"Meridian Regional Airport",Meridian,"United States",MEI
"Melbourne Airport",Melbourne,Australia,MEL
"Memphis International Airport",Memphis,"United States",MEM
"Mexico City International Airport","Mexico City",Mexico,MEX
"McAllen Miller International Airport",McAllen,"United States",MFE
"Macau International Airport",Macau,Macau,MFM
"Rogue Valley International-Medford Airport",Medford,"United States",MFR
"Augusto C. Sandino International Airport",Managua,Nicaragua,MGA
"Montgomery Regional Airport",Montgomery,"United States",MGM
"Aden Abdulle International Airport",Mogadishu,Somalia,MGQ
"Morgantown Municipal Airport",Morgantown,"United States",MGW
"Mashhad International Airport",Mashhad,Iran,MHD
"Marsh Harbour Airport","Marsh Harbour",Bahamas,MHH
"Manhattan Regional Airport",Manhattan,"United States",MHK
"Mariehamn Airport",Mariehamn,Finland,MHQ
"Manchester-Boston Regional Airport",Manchester,"United States",MHT
"Miami International Airport",Miami,"United States",MIA
"Manuel Crescencio Rejon International Airport",Merida,Mexico,MID
"Monastir Habib Bourguiba International Airport",Monastir,Tunisia,MIR
"Mytilene International Airport",Mytilene,Greece,MJT
"Region de Murcia International Airport",Murcia,Spain,MJV
"Milwaukee Mitchell International Airport",Milwaukee,"United States",MKE
"Muskegon County Airport",Muskegon,"United States",MKG
"McKellar-Sipes Regional Airport",Jackson,"United States",MKL
"Mackay Airport",Mackay,Australia,MKY
"Malta International Airport",Valletta,Malta,MLA
"Orlando Melbourne International Airport",Melbourne,"United States",MLB
"Velana International Airport",Male,Maldives,MLE
"Quad City International Airport",Moline,"United States",MLI
"Monroe Regional Airport",Monroe,"United States",MLU
"Memanbetsu Airport",Ozora,Japan,MMB
"Malmo Airport",Malmo,Sweden,MMX
"Miyako Airport",Miyakojima,Japan,MMY
"Ninoy Aquino International Airport",Manila,Philippines,MNL
"Mobile Regional Airport",Mobile,"United States",MOB
"Molde Airport",Molde,Norway,MOL
"Minot International Airport",Minot,"United States",MOT
"Moorea Temae Airport",Moorea,"French Polynesia",MOZ
"Montpellier-Mediterranee Airport",Montpellier,France,MPL
"Maputo International Airport",Maputo,Mozambique,MPM
"Mildura Airport",Mildura,Australia,MQL
"Sawyer International Airport",Marquette,"United States",MQT
"Alula Aba Nega Airport",Mekelle,Ethiopia,MQX
"Marseille Provence Airport",Marseille,France,MRS
"Sir Seewoosagur Ramgoolam International Airport",Mauritius,Mauritius,MRU
"Mineralnye Vody Airport","Mineralnye Vody",Russia,MRV
"Monterey Regional Airport",Monterey,"United States",MRY
"Dane County Regional Airport",Madison,"United States",MSN
"Missoula Montana Airport",Missoula,"United States",MSO
"Minneapolis-Saint Paul International Airport",Minneapolis,"United States",MSP
"Maastricht Aachen Airport",Maastricht,Netherlands,MST
"Moshoeshoe I International Airport",Maseru,Lesotho,MSU
"Louis Armstrong New Orleans International Airport","New Orleans","United States",MSY
"Montrose Regional Airport",Montrose,"United States",MTJ
"Matsapha Airport",Manzini,Eswatini,MTS
"Monterrey International Airport",Monterrey,Mexico,MTY
"Munich Airport",Munich,Germany,MUC
"Multan International Airport",Multan,Pakistan,MUX
"Carrasco International Airport",Montevideo,Uruguay,MVD
"Martha's Vineyard Airport","Vineyard Haven","United States",MVY
"Muan International Airport",Muan,"South Korea",MWX
"Milan Malpensa Airport",Milan,Italy,MXP
"Matsuyama Airport",Matsuyama,Japan,MYJ
"Myrtle Beach International Airport","Myrtle Beach","United States",MYR
"Miri Airport",Miri,Malaysia,MYY
"General Rafael Buelna International Airport",Mazatlan,Mexico,MZT
"Dr. Babasaheb Ambedkar International Airport",Nagpur,India,NAG
"Nadi International Airport",Nadi,Fiji,NAN
"Naples International Airport",Naples,Italy,NAP
"Lynden Pindling International Airport",Nassau,Bahamas,NAS
"Augusto Severo International Airport",Natal,Brazil,NAT
"Nevsehir Kapadokya Airport",Nevsehir,Turkey,NAV
"Enfidha-Hammamet International Airport",Enfidha,Tunisia,NBE
"Jomo Kenyatta International Airport",Nairobi,Kenya,NBO
"Nice Cote d'Azur Airport",Nice,France,NCE
"Newcastle International Airport",Newcastle,"United Kingdom",NCL
"N'Djamena International Airport",N'Djamena,Chad,NDJ
"Nador International Airport",Nador,Morocco,NDR
"Chubu Centrair International Airport",Nagoya,Japan,NGO
"Nagasaki Airport",Nagasaki,Japan,NGS
"Diori Hamani International Airport",Niamey,Niger,NIM
"Al Najaf International Airport",Najaf,Iraq,NJF
"Nouakchott-Oumtounsy International Airport",Nouakchott,Mauritania,NKC
"Nanjing Lukou International Airport",Nanjing,China,NKG
"Nanning Wuxu International Airport",Nanning,China,NNG
"Fascene Airport","Nosy Be",Madagascar,NOS
"La Tontouta International Airport",Noumea,"New Caledonia",NOU
"Hawke's Bay Airport",Napier,"New Zealand",NPE
"New Plymouth Airport","New Plymouth","New Zealand",NPL
"Presidente Peron International Airport",Neuquen,Argentina,NQN
"Nursultan Nazarbayev International Airport",Astana,Kazakhstan,NQZ
"Norrkoping Airport",Norrkoping,Sweden,NRK
"Narita International Airport",Tokyo,Japan,NRT
"Yaounde Nsimalen International Airport",Yaounde,Cameroon,NSI
"Nelson Airport",Nelson,"New Zealand",NSN
"Nakhon Si Thammarat Airport","Nakhon Si Thammarat",Thailand,NST
"Nantes Atlantique Airport",Nantes,France,NTE
"Newcastle Airport",Newcastle,Australia,NTL
"Nuremberg Airport",Nuremberg,Germany,NUE
"Ministro Victor Konder International Airport",Navegantes,Brazil,NVT
"Norwich International Airport",Norwich,"United Kingdom",NWI
"Naypyidaw International Airport",Naypyidaw,Myanmar,NYT
"Albert J. Ellis Airport",Jacksonville,"United States",OAJ
"Oakland International Airport",Oakland,"United States",OAK
"Xoxocotlan International Airport",Oaxaca,Mexico,OAX
"Tokachi-Obihiro Airport",Obihiro,Japan,OBO
"Kahului Airport",Kahului,"United States",OGG
"Ogdensburg International Airport",Ogdensburg,"United States",OGS
"Ohrid St. Paul the Apostle Airport",Ohrid,"North Macedonia",OHD
"Oita Airport",Oita,Japan,OIT
"Naha Airport",Okinawa,Japan,OKA
"Will Rogers World Airport","Oklahoma City","United States",OKC
"Okayama Momotaro Airport",Okayama,Japan,OKJ
"Olbia Costa Smeralda Airport",Olbia,Italy,OLB
"Eppley Airfield",Omaha,"United States",OMA
"Nome Airport",Nome,"United States",OME
"Ontario International Airport",Ontario,"United States",ONT
"Gold Coast Airport","Gold Coast",Australia,OOL
"Francisco Sa Carneiro Airport",Porto,Portugal,OPO
"O'Hare International Airport",Chicago,"United States",ORD
"Norfolk International Airport",Norfolk,"United States",ORF
"Worcester Regional Airport",Worcester,"United States",ORH
"Cork Airport",Cork,Ireland,ORK
"Ahmed Ben Bella Airport",Oran,Algeria,ORN
"Paris Orly Airport",Paris,France,ORY
"Oslo Gardermoen Airport",Oslo,Norway,OSL
"Leos Janacek Airport Ostrava",Ostrava,"Czech Republic",OSR
"Osh Airport",Osh,Kyrgyzstan,OSS
"Henri Coanda International Airport",Bucharest,Romania,OTP
"Ralph Wien Memorial Airport",Kotzebue,"United States",OTZ
"Thomas Sankara International Airport",Ouagadougou,"Burkina Faso",OUA
"Angads Airport",Oujda,Morocco,OUJ
"Oulu Airport",Oulu,Finland,OUL
"Tolmachevo Airport",Novosibirsk,Russia,OVB
"Asturias Airport",Oviedo,Spain,OVD
"Owensboro-Daviess County Regional Airport",Owensboro,"United States",OWB
"Osvaldo Vieira International Airport",Bissau,Guinea-Bissau,OXB
"Paderborn Lippstadt Airport",Paderborn,Germany,PAD
"Barkley Regional Airport",Paducah,"United States",PAH
"Toussaint Louverture International Airport",Port-au-Prince,Haiti,PAP
"Jay Prakash Narayan International Airport",Patna,India,PAT
"Plattsburgh International Airport",Plattsburgh,"United States",PBG
"Paro International Airport",Paro,Bhutan,PBH
"Palm Beach International Airport","West Palm Beach","United States",PBI
"Johan Adolf Pengel International Airport",Paramaribo,Suriname,PBM
"Minangkabau International Airport",Padang,Indonesia,PDG
"Joao Paulo II Airport","Ponta Delgada",Portugal,PDL
"Capitan de Corbeta Carlos A. Curbelo International Airport","Punta del Este",Uruguay,PDP
"Portland International Airport",Portland,"United States",PDX
"Perm International Airport",Perm,Russia,PEE
"San Francesco d'Assisi Airport",Perugia,Italy,PEG
"Matecana International Airport",Pereira,Colombia,PEI
"Beijing Capital International Airport",Beijing,China,PEK
"Penang International Airport",Penang,Malaysia,PEN
"Perth Airport",Perth,Australia,PER
"Bacha Khan International Airport",Peshawar,Pakistan,PEW
"Paphos International Airport",Paphos,Cyprus,PFO
"Pitt-Greenville Airport",Greenville,"United States",PGV
"Port Harcourt International Airport","Port Harcourt",Nigeria,PHC
"Port Hedland International Airport","Port Hedland",Australia,PHE
"Newport News/Williamsburg International Airport","Newport News","United States",PHF
"Phoenix Sky Harbor International Airport",Phoenix,"United States",PHX
"General Wayne A. Downing Peoria International Airport",Peoria,"United States",PIA
"Hattiesburg-Laurel Regional Airport",Hattiesburg,"United States",PIB
"St. Pete-Clearwater International Airport","St. Petersburg","United States",PIE
"Pocatello Regional Airport",Pocatello,"United States",PIH
"Glasgow Prestwick Airport",Glasgow,"United Kingdom",PIK
"Pierre Regional Airport",Pierre,"United States",PIR
"Pittsburgh International Airport",Pittsburgh,"United States",PIT
"Capitan FAP Guillermo Concha Iberico International Airport",Piura,Peru,PIU
"Yelizovo Airport",Petropavlovsk-Kamchatsky,Russia,PKC
"Pokhara International Airport",Pokhara,Nepal,PKR
"Sultan Syarif Kasim II International Airport",Pekanbaru,Indonesia,PKU
"Beijing Daxing International Airport",Beijing,China,PKX
"Sultan Mahmud Badaruddin II International Airport",Palembang,Indonesia,PLM
"Pellston Regional Airport",Pellston,"United States",PLN
"Plovdiv Airport",Plovdiv,Bulgaria,PLO
"Palanga International Airport",Palanga,Lithuania,PLQ
"Providenciales International Airport",Providenciales,"Turks and Caicos Islands",PLS
"Chief Dawid Stuurman International Airport","Port Elizabeth","South Africa",PLZ
"El Tepual International Airport","Puerto Montt",Chile,PMC
"Palma de Mallorca Airport","Palma de Mallorca",Spain,PMI
"Falcone-Borsellino Airport",Palermo,Italy,PMO
"Palmerston North Airport","Palmerston North","New Zealand",PMR
"Del Caribe Santiago Marino International Airport",Porlamar,Venezuela,PMV
"Palmas Airport",Palmas,Brazil,PMW
"Phnom Penh International Airport","Phnom Penh",Cambodia,PNH
"Pohnpei International Airport",Pohnpei,Micronesia,PNI
"Supadio Airport",Pontianak,Indonesia,PNK
"Pune Airport",Pune,India,PNQ
"Antonio Agostinho Neto International Airport",Pointe-Noire,"Republic of the Congo",PNR
"Pensacola International Airport",Pensacola,"United States",PNS
"Salgado Filho International Airport","Porto Alegre",Brazil,POA
"Port-Gentil Airport",Port-Gentil,Gabon,POG
"Gregorio Luperon International Airport","Puerto Plata","Dominican Republic",POP
"Piarco International Airport","Port of Spain","Trinidad and Tobago",POS
"Poznan-Lawica Airport",Poznan,Poland,POZ
"Pago Pago International Airport","Pago Pago","American Samoa",PPG
"Whitsunday Coast Airport",Proserpine,Australia,PPP
"Puerto Princesa International Airport","Puerto Princesa",Philippines,PPS
"Faa'a International Airport",Papeete,"French Polynesia",PPT
"Phu Quoc International Airport","Phu Quoc",Vietnam,PQC
"Presque Isle International Airport","Presque Isle","United States",PQI
"Prescott Regional Airport",Prescott,"United States",PRC
"Vaclav Havel Airport Prague",Prague,"Czech Republic",PRG
"Pristina International Airport",Pristina,Kosovo,PRN
"Pisa International Airport",Pisa,Italy,PSA
"Tri-Cities Airport",Pasco,"United States",PSC
"Petersburg James A. Johnson Airport",Petersburg,"United States",PSG
"Palm Springs International Airport","Palm Springs","United States",PSP
"Libertador General Jose de San Martin Airport",Posadas,Argentina,PSS
"Pointe-a-Pitre International Airport",Pointe-a-Pitre,Guadeloupe,PTP
"Tocumen International Airport","Panama City",Panama,PTY
"Pueblo Memorial Airport",Pueblo,"United States",PUB
"Punta Cana International Airport","Punta Cana","Dominican Republic",PUJ
"Carlos Ibanez del Campo International Airport","Punta Arenas",Chile,PUQ
"Gimhae International Airport",Busan,"South Korea",PUS
"Pullman-Moscow Regional Airport",Pullman,"United States",PUW
"Pula Airport",Pula,Croatia,PUY
"T.F. Green International Airport",Providence,"United States",PVD
"Shanghai Pudong International Airport",Shanghai,China,PVG
"Governador Jorge Teixeira de Oliveira International Airport","Porto Velho",Brazil,PVH
"Aktion National Airport",Preveza,Greece,PVK
"Licenciado Gustavo Diaz Ordaz International Airport","Puerto Vallarta",Mexico,PVR
"Portland International Jetport",Portland,"United States",PWM
"Puerto Escondido International Airport","Puerto Escondido",Mexico,PXM
"Queretaro Intercontinental Airport",Queretaro,Mexico,QRO
"Nelson Mandela International Airport",Praia,"Cape Verde",RAI
"Rajkot Airport",Rajkot,India,RAJ
"Marrakech Menara Airport",Marrakech,Morocco,RAK
"Rapid City Regional Airport","Rapid City","United States",RAP
"Rarotonga International Airport",Rarotonga,"Cook Islands",RAR
"Rabat-Sale Airport",Rabat,Morocco,RBA
"Placido de Castro International Airport","Rio Branco",Brazil,RBR
"Redding Municipal Airport",Redding,"United States",RDD
"Redmond Municipal Airport",Redmond,"United States",RDM
"Raleigh-Durham International Airport",Raleigh/Durham,"United States",RDU
"Guararapes International Airport",Recife,Brazil,REC
"Reggio Calabria Airport","Reggio Calabria",Italy,REG
"Almirante Marco Andres Zar Airport",Trelew,Argentina,REL
"Siem Reap International Airport","Siem Reap",Cambodia,REP
"Resistencia International Airport",Resistencia,Argentina,RES
"Reus Airport",Reus,Spain,REU
"Yangon International Airport",Yangon,Myanmar,RGN
"Rhodes International Airport",Rhodes,Greece,RHO
"Richmond International Airport",Richmond,"United States",RIC
"Riverton Regional Airport",Riverton,"United States",RIW
"Riga International Airport",Riga,Latvia,RIX
"Rijeka Airport",Rijeka,Croatia,RJK
"Knox County Regional Airport",Rockland,"United States",RKD
"Rock Springs-Sweetwater County Airport","Rock Springs","United States",RKS
"Ras Al Khaimah International Airport","Ras Al Khaimah","United Arab Emirates",RKT
"Reykjavik Airport",Reykjavik,Iceland,RKV
"Federico Fellini International Airport",Rimini,Italy,RMI
"Taichung International Airport",Taichung,Taiwan,RMQ
"Ronneby Airport",Ronneby,Sweden,RNB
"Reno-Tahoe International Airport",Reno,"United States",RNO
"Rennes-Saint-Jacques Airport",Rennes,France,RNS
"Roanoke-Blacksburg Regional Airport",Roanoke,"United States",ROA
"Roberts International Airport",Monrovia,Liberia,ROB
"Greater Rochester International Airport",Rochester,"United States",ROC
"Rockhampton Airport",Rockhampton,Australia,ROK
"Rota International Airport",Rota,"Northern Mariana Islands",ROP
"Roman Tmetuchl International Airport",Koror,Palau,ROR
"Islas Malvinas International Airport",Rosario,Argentina,ROS
"Rotorua Airport",Rotorua,"New Zealand",ROT
"Platov International Airport",Rostov-on-Don,Russia,ROV
"Swami Vivekananda Airport",Raipur,India,RPR
"Rochester International Airport",Rochester,"United States",RST
